id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
39551455,Luxurious Private Suite with Lake View,303686027,Viceroy,,Near North Side,41.90308,-87.62981,Private room,575,1,0,,,9,133
39551538,Luxurious Penthouse in Boutique Hotel Near North,303686027,Viceroy,,Near North Side,41.90129,-87.62808,Private room,975,1,1,1/19/2020,0.11,9,94
39554529,Cozy Home Away From Home,303915234,Rema,,Near West Side,41.88804,-87.64309,Entire home/apt,125,1,1,10/26/2019,0.08,1,0
39557322,30 E. Huron #3406 Private Residence,257464365,Kevin,,Near North Side,41.89476,-87.62558,Entire home/apt,85,30,0,,,18,121
39559681,CHICAGO OR AIRPORT in just 20 min. For less  !!,110050671,Mark,,Forest Glen,41.96902,-87.75225,Entire home/apt,108,2,2,9/25/2020,1.62,1,362
39571650,Bright Bucktown/ Logan Square entire apartment,20028081,Amanda,,Logan Square,41.91946,-87.68729,Entire home/apt,68,1,6,3/14/2020,0.57,1,0
39579890,30 E. Huron #2907 Private Residence,257464365,Kevin,,Near North Side,41.89635,-87.62586,Entire home/apt,98,30,1,1/6/2020,0.1,18,151
39582948,Unique  2 bedroom bungalow  in Ukrainian Village,134285327,Margaret,,West Town,41.89838,-87.67895,Entire home/apt,100,3,12,9/24/2020,0.99,2,81
39585480,11-People/5-Bed Rooms/Spacious Apartment,175332894,Tingting,,Portage Park,41.96761,-87.75318,Entire home/apt,183,2,12,3/1/2020,1.09,1,0
39588371,Steps to UChicago | Easy Access + W&D | Zencity,47172572,Zencity,,Hyde Park,41.79658,-87.59861,Entire home/apt,64,1,40,10/7/2020,3.45,59,171
39589189,PRIVATE BEDROOM in a modern apt near HYDE PARK,132695606,John,,Grand Boulevard,41.81578,-87.60701,Private room,995,1,5,2/16/2020,0.42,1,90
39592786,Spacious and large bedroom  near the U of C,219102815,Jeanne,,Hyde Park,41.80102,-87.6001,Private room,29,31,0,,,2,90
39598505,"Spacious Lakeview 3BR, w/ W/D, close to Wrigley Field by Blueground",107434423,Blueground,,Lake View,41.94492,-87.66426,Entire home/apt,183,30,0,,,212,0
39604043,Best Location! LUX 2/2 Condo 51st fl Amazing Views,32960567,Chris,,Near North Side,41.89483,-87.62709,Entire home/apt,225,29,1,5/31/2020,0.2,2,206
39605111,Cozy Logan Square Apartment,180382279,Ashley,,Logan Square,41.931,-87.69956,Entire home/apt,120,2,11,10/18/2020,0.94,1,48
39605247,Black and White Vintage Room Block to Blue Line,11108717,Chris,,Avondale,41.94652,-87.71541,Private room,35,14,0,,,4,90
39605954,La Casita,141596426,Salvador,,Lower West Side,41.84799,-87.67865,Entire home/apt,66,2,29,10/11/2020,2.45,1,152
39606339,Bronzeville high end duplex,304323050,Derek,,Oakland,41.81816,-87.60143,Entire home/apt,800,3,0,,,1,90
39607063,Spacious & Modern Family Friendly North Center Apt,6335221,Justin,,North Center,41.95846,-87.68289,Entire home/apt,140,2,20,10/23/2020,1.79,1,328
39608107,Near UChicago Happy Home Private w/ Free Parking,91186260,Jessie,,Washington Park,41.79615,-87.62735,Private room,28,6,4,9/30/2020,0.35,6,0
39610156,Private Room with Free Parking near Downtown,59229431,Chris,,Humboldt Park,41.90916,-87.71738,Private room,20,1,9,12/1/2019,0.74,1,0
