price,neighborhood,latitude,longitude,room_type,bathrooms,bedrooms,beds
430,Uptown,41.97095,-87.66798,Entire home/apt,2,3,4
228,Uptown,41.97106,-87.66777,Private room,1,1,1
105,Lincoln Park,41.91221,-87.64956,Private room,1,1,1
30,West Town,41.90793,-87.6884,Private room,1,1,1
105,Lincoln Square,41.96736,-87.69907,Entire home/apt,2,2,2
50,Pullman,41.68906,-87.60769,Private room,1,1,1
48,Rogers Park,42.01447,-87.66606,Private room,1,1,1
999,Uptown,41.97085,-87.66695,Entire home/apt,2,3,3
250,Near North Side,41.89316,-87.62442,Entire home/apt,1,2,2
72,West Town,41.89494,-87.65888,Private room,1.5,1,1
69,West Town,41.89998,-87.69244,Private room,2,1,2
150,Logan Square,41.92149,-87.67817,Entire home/apt,2.5,3,3
42,West Town,41.90368,-87.67943,Private room,1,1,1
45,West Town,41.90436,-87.67953,Private room,1,1,1
65,West Town,41.89405,-87.68498,Entire home/apt,1,1,2
78,West Town,41.89329,-87.68574,Entire home/apt,1,1,1
214,West Town,41.88945,-87.68241,Entire home/apt,2,1,1
150,West Town,41.90044,-87.69325,Entire home/apt,2,2,2
25,Lower West Side,41.85707,-87.67082,Private room,1,1,1
69,Hyde Park,41.79718,-87.59735,Private room,1,1,1
65,West Town,41.90978,-87.67691,Private room,1,1,1
89,West Town,41.9106,-87.67591,Private room,1,1,1
104,Rogers Park,42.00239,-87.66692,Entire home/apt,2,2,3
103,West Town,41.89523,-87.66601,Entire home/apt,2.5,3,5
99,West Town,41.89883,-87.68124,Entire home/apt,1,2,4
145,Logan Square,41.92681,-87.70853,Entire home/apt,2,1,1
39,Hyde Park,41.7981,-87.58927,Private room,1,1,2
40,Rogers Park,42.0151,-87.68063,Private room,1,1,1
45,South Shore,41.7645,-87.57248,Private room,1,1,6
32,Irving Park,41.94729,-87.70329,Private room,1,1,1
145,Lincoln Park,41.92182,-87.66214,Entire home/apt,2,2,3
161,Lincoln Park,41.92052,-87.66186,Entire home/apt,1.5,2,4
103,West Town,41.89631,-87.69999,Entire home/apt,1,2,2
26,South Shore,41.76469,-87.57215,Private room,1,1,1
25,South Shore,41.76264,-87.57232,Private room,1,1,1
80,West Town,41.89541,-87.67537,Private room,1.5,1,1
1576,Lake View,41.94706,-87.65888,Entire home/apt,1,,2
315,Logan Square,41.92845,-87.71325,Entire home/apt,3.5,3,3
115,West Town,41.909,-87.67689,Private room,1,1,1
73,Uptown,41.96834,-87.65851,Private room,1,1,1
120,Near South Side,41.85935,-87.62425,Private room,1,1,1
185,Lincoln Park,41.92182,-87.64175,Entire home/apt,2,2,2
146,Logan Square,41.9192,-87.69098,Entire home/apt,2,5,6
59,South Lawndale,41.8529,-87.69617,Private room,1,1,1
200,Near North Side,41.89068,-87.62658,Entire home/apt,2,2,2
48,South Lawndale,41.85284,-87.69831,Private room,1,1,1
62,South Lawndale,41.85418,-87.69619,Private room,1,1,1
79,Lincoln Square,41.97142,-87.67635,Entire home/apt,1,1,0
165,West Town,41.90138,-87.67335,Entire home/apt,2,2,2
50,Lincoln Park,41.91727,-87.65334,Private room,1,1,1
124,Grand Boulevard,41.81214,-87.61231,Private room,2.5,3,3
41,West Garfield Park,41.87478,-87.72131,Entire home/apt,1,3,3
1232,Lake View,41.9425,-87.65234,Entire home/apt,3,4,4
59,East Garfield Park,41.88675,-87.7066,Entire home/apt,1,,3
214,West Town,41.88918,-87.68012,Entire home/apt,1.5,1,1
89,Lake View,41.94084,-87.65781,Private room,1,1,1
120,Near North Side,41.89862,-87.62138,Entire home/apt,2,2,2
185,Near West Side,41.88819,-87.64366,Entire home/apt,2,2,2
88,West Town,41.90531,-87.66713,Entire home/apt,1,2,2
30,Hermosa,41.93433,-87.73945,Private room,1,1,2
88,West Town,41.91011,-87.6771,Private room,1,1,1
349,Near North Side,41.89169,-87.62105,Entire home/apt,1.5,1,2
45,Mckinley Park,41.82962,-87.67529,Entire home/apt,1,1,2
93,Avondale,41.93583,-87.69361,Entire home/apt,1,1,1
86,Douglas,41.83618,-87.62082,Private room,1,1,1
200,Loop,41.87352,-87.62969,Entire home/apt,2,2,2
140,Rogers Park,42.00975,-87.66467,Entire home/apt,1,1,4
18,West Ridge,42.01653,-87.68788,Shared room,2,1,1
181,North Center,41.94614,-87.68242,Entire home/apt,2,3,3
219,Uptown,41.97183,-87.66786,Private room,1,1,1
399,Uptown,41.97106,-87.66777,Private room,2,2,2
122,Lake View,41.93924,-87.65502,Entire home/apt,1,2,5
59,North Center,41.94851,-87.68291,Private room,1,1,1
450,North Center,41.9573,-87.68006,Entire home/apt,3.5,5,6
119,Logan Square,41.92416,-87.69048,Entire home/apt,1,2,3
66,Portage Park,41.9595,-87.74891,Entire home/apt,2,2,2
143,West Town,41.90156,-87.66375,Entire home/apt,2,2,2
159,North Center,41.94078,-87.68115,Entire home/apt,2,3,3
130,Hermosa,41.92272,-87.73587,Entire home/apt,1,2,2
175,Loop,41.88626,-87.61632,Entire home/apt,2,2,2
90,Edgewater,41.99484,-87.66184,Private room,1,1,2
51,Avondale,41.94208,-87.71685,Private room,0,1,1
298,West Town,41.89364,-87.66483,Entire home/apt,3,3,3
77,Humboldt Park,41.90955,-87.70928,Entire home/apt,1,2,3
129,Logan Square,41.91637,-87.7005,Private room,1,1,1
125,Dunning,41.9431,-87.79461,Private room,1,2,3
25,Logan Square,41.92409,-87.68419,Private room,1,1,1
299,Albany Park,41.96318,-87.70387,Entire home/apt,3.5,4,4
